cl,week,price,b1,b2
WholeFoods,61,5,Jolly Rancher,Product199
Walmart,61,15,Pelon,Product200
37 eleven,61,37,Hersheys,Product1
Kmart,60,48,Kisses,Product2
OXXO,62,31,Hersheys,Product3
Soriana,62,43,Kit Kat,Product4
Chedraui,62,36,Kisses,Product5
WholeFoods,62,16,Pelon,Product6
Walmart,62,11,Almond Joy,Product7
38 eleven,62,17,Pelon,Product8
Kmart,62,15,Almond Joy,Product9
OXXO,63,16,Cocoa,Product10
Soriana,63,20,Cocoa,Product11
Chedraui,63,40,Hersheys,Product12
WholeFoods,63,17,Cocoa,Product13
Walmart,63,19,Pelon,Product14
39 eleven,50,58,Reeses,Product15
Kmart,64,38,Hersheys,Product16
OXXO,64,20,Cocoa,Product17
Soriana,64,19,Cocoa,Product18
Chedraui,64,18,Pelon,Product170
WholeFoods,62,16,Cocoa,Product19
Walmart,65,34,Hersheys,Product20
40 eleven,60,36,Kit Kat,Product21
Kmart,58,43,Kit Kat,Product22
OXXO,48,43,Kisses,Product23
Soriana,19,31,Hersheys,Product24
Chedraui,19,31,Hersheys,Product24
WholeFoods,26,20,Bites,Product25
Walmart,34,124,Seasons,Product26
41 eleven,18,52,Reeses,Product27
Kmart,32,10,Almond Joy,Product28
OXXO,34,137,Seasons,Product29
Soriana,34,12,Almond Joy,Product30
Chedraui,34,12,Almond Joy,Product31
WholeFoods,34,137,Seasons,Product32
Walmart,35,132,Seasons,Product33
42 eleven,19,34,Kit Kat,Product34
Kmart,25,10,Almond Joy,Product35
OXXO,34,15,Almond Joy,Product36
Soriana,62,58,Milk,Product37
Chedraui,62,46,Milk,Product38
WholeFoods,62,58,Milk,Product39
Walmart,62,53,Milk,Product40
43 eleven,62,55,Milk,Product41
Kmart,62,41,Milk,Product42
OXXO,62,50,Milk,Product43
Soriana,62,44,Milk,Product44
Chedraui,33,36,Kisses,Product45
WholeFoods,62,58,Milk,Product46
Walmart,62,60,Milk,Product47
44 eleven,62,45,Milk,Product48
Kmart,62,49,Milk,Product49
OXXO,62,47,Milk,Product50
Soriana,62,42,Milk,Product51
Chedraui,62,56,Milk,Product52
WholeFoods,62,41,Milk,Product53
Walmart,22,50,Reeses,Product54
45 eleven,62,51,Milk,Product55
Kmart,63,55,Milk,Product56
OXXO,63,49,Milk,Product57
Soriana,63,49,Milk,Product58
Chedraui,63,52,Milk,Product59
WholeFoods,63,43,Milk,Product60
Walmart,63,42,Milk,Product61
46 eleven,63,56,Milk,Product62
Kmart,63,40,Milk,Product63
OXXO,33,10,Almond Joy,Product64
Soriana,63,54,Milk,Product65
Chedraui,63,53,Milk,Product66
WholeFoods,63,57,Milk,Product67
Walmart,48,60,Reeses,Product68
47 eleven,63,33,Hersheys,Product69
Kmart,63,46,Milk,Product70
OXXO,63,51,Milk,Product71
Soriana,63,49,Milk,Product72
Chedraui,63,55,Milk,Product73
WholeFoods,62,49,Milk,Product74
Walmart,62,40,Milk,Product75
48 eleven,62,51,Milk,Product76
Kmart,62,60,Milk,Product77
OXXO,62,51,Milk,Product78
Soriana,62,40,Milk,Product79
Chedraui,34,13,Almond Joy,Product80
WholeFoods,62,51,Milk,Product81
Walmart,63,55,Milk,Product82
49 eleven,63,41,Milk,Product83
Kmart,63,45,Milk,Product84
OXXO,63,57,Milk,Product85
Soriana,63,56,Milk,Product86
Chedraui,63,60,Milk,Product87
WholeFoods,63,46,Milk,Product88
Walmart,63,49,Milk,Product89
50 eleven,63,42,Milk,Product90
Kmart,63,57,Milk,Product91
OXXO,63,57,Milk,Product92
Soriana,63,56,Milk,Product93
Chedraui,63,48,Milk,Product94
WholeFoods,63,41,Milk,Product95
Walmart,63,50,Milk,Product96
51 eleven,64,44,Milk,Product97
Kmart,64,53,Milk,Product98
OXXO,64,41,Milk,Product99
Soriana,64,48,Milk,Product100
Chedraui,64,43,Milk,Product101
WholeFoods,64,56,Milk,Product102
Walmart,64,54,Milk,Product103
52 eleven,64,42,Milk,Product104
Kmart,64,58,Milk,Product105
OXXO,64,47,Milk,Product106
Soriana,64,54,Milk,Product107
Chedraui,64,60,Milk,Product108
WholeFoods,64,40,Milk,Product109
Walmart,64,45,Milk,Product110
53 eleven,64,47,Milk,Product111
Kmart,64,60,Milk,Product112
OXXO,64,46,Milk,Product113
Soriana,64,51,Milk,Product114
Chedraui,30,15,Almond Joy,Product115
WholeFoods,64,60,Milk,Product116
Walmart,64,46,Milk,Product117
54 eleven,64,44,Milk,Product118
Kmart,64,57,Milk,Product119
OXXO,64,52,Milk,Product120
Soriana,64,52,Milk,Product121
Chedraui,64,60,Milk,Product122
WholeFoods,64,41,Milk,Product123
Walmart,34,44,Kisses,Product124
55 eleven,49,138,Seasons,Product125
Kmart,64,60,Milk,Product126
OXXO,64,58,Milk,Product127
Soriana,64,42,Milk,Product128
Chedraui,64,42,Milk,Product129
WholeFoods,29,14,Almond Joy,Product130
Walmart,64,56,Milk,Product131
56 eleven,34,10,Almond Joy,Product132
Kmart,30,10,Almond Joy,Product133
OXXO,34,10,Almond Joy,Product134
Soriana,62,22,Cocoa,Product135
Chedraui,62,17,Cocoa,Product136
WholeFoods,62,17,Cocoa,Product137
Walmart,62,22,Cocoa,Product138
57 eleven,62,21,Cocoa,Product139
Kmart,31,12,Almond Joy,Product140
OXXO,62,16,Cocoa,Product141
Soriana,62,15,Cocoa,Product142
Chedraui,62,22,Cocoa,Product143
WholeFoods,62,20,Cocoa,Product144
Walmart,63,44,Kisses,Product145
58 eleven,63,47,Kisses,Product146
Kmart,63,40,Kisses,Product147
OXXO,63,41,Kisses,Product148
Soriana,63,48,Kisses,Product149
Chedraui,37,14,Almond Joy,Product150
WholeFoods,63,41,Kisses,Product151
Walmart,63,48,Kisses,Product152
59 eleven,63,38,Kisses,Product153
Kmart,63,45,Kisses,Product154
OXXO,63,48,Kisses,Product155
Soriana,63,52,Kisses,Product156
Chedraui,64,44,Kisses,Product157
WholeFoods,64,50,Kisses,Product158
Walmart,64,52,Kisses,Product159
60 eleven,48,39,Kisses,Product160
Kmart,63,16,Cocoa,Product161
OXXO,63,16,Cocoa,Product162
Soriana,64,52,Kisses,Product163
Chedraui,64,37,Kisses,Product164
WholeFoods,64,36,Kisses,Product165
Walmart,64,51,Kisses,Product166
61 eleven,64,36,Kisses,Product167
Kmart,48,48,Kisses,Product168
OXXO,64,14,Pelon,Product169
Soriana,64,18,Pelon,Product170
Chedraui,64,17,Pelon,Product171
WholeFoods,64,18,Pelon,Product172
Walmart,64,19,Pelon,Product173
62 eleven,64,14,Pelon,Product174
Kmart,64,15,Pelon,Product175
OXXO,64,15,Pelon,Product176
Soriana,64,18,Pelon,Product177
Chedraui,48,50,Kisses,Product178
WholeFoods,64,15,Pelon,Product179
Walmart,25,44,Reeses,Product179
63 eleven,34,43,Kisses,Product181
Kmart,29,11,Almond Joy,Product182
OXXO,48,18,Pelon,Product183
Soriana,48,18,Pelon,Product184
Chedraui,48,17,Pelon,Product185
WholeFoods,48,16,Pelon,Product186
Walmart,48,15,Pelon,Product187
64 eleven,48,14,Pelon,Product188
Kmart,48,17,Pelon,Product189
OXXO,48,15,Pelon,Product190
Soriana,48,18,Pelon,Product191
Chedraui,48,18,Pelon,Product192
WholeFoods,48,18,Pelon,Product193
Walmart,48,17,Pelon,Product194
65 eleven,48,14,Pelon,Product195
Kmart,48,19,Pelon,Product196
OXXO,48,13,Pelon,Product197
Soriana,48,16,Pelon,Product198
Chedraui,48,18,Pelon,Product199
WholeFoods,48,15,Pelon,Product200
Walmart,48,15,Pelon,Product1
66 eleven,48,14,Pelon,Product2
Kmart,48,15,Pelon,Product3
OXXO,48,19,Pelon,Product4
Soriana,48,17,Pelon,Product5
Chedraui,48,16,Pelon,Product6
WholeFoods,48,16,Pelon,Product7
Walmart,25,13,Almond Joy,Product8
67 eleven,25,41,Kit Kat,Product9
Kmart,35,10,Almond Joy,Product10
OXXO,48,37,Kisses,Product11
Soriana,34,14,Almond Joy,Product12
Chedraui,35,105,Seasons,Product13
WholeFoods,35,103,Seasons,Product14
Walmart,61,15,Cocoa,Product15
68 eleven,48,57,Reeses,Product16
Kmart,48,22,Bites,Product17
OXXO,46,36,Kisses,Product18
Soriana,48,40,Kisses,Product19
Chedraui,47,39,Kisses,Product20
WholeFoods,48,7,Jolly Rancher,Product21
Walmart,20,39,Hersheys,Product22
69 eleven,50,43,Kisses,Product23
Kmart,26,46,Reeses,Product171
OXXO,26,27,Bites,Product34
Soriana,26,20,Bites,Product25
Chedraui,26,24,Bites,Product9
WholeFoods,57,13,Almond Joy,Product27
Walmart,26,30,Bites,Product28
70 eleven,26,20,Bites,Product29
Kmart,26,23,Bites,Product30
OXXO,48,51,Reeses,Product12
Soriana,26,26,Bites,Product32
Chedraui,26,21,Bites,Product33
WholeFoods,26,27,Bites,Product34
Walmart,30,50,Reeses,Product35
71 eleven,26,30,Bites,Product36
Kmart,26,46,Reeses,Product171
OXXO,26,21,Bites,Product37
Soriana,15,45,Kit Kat,Product38
Chedraui,26,27,Bites,Product39
WholeFoods,26,29,Bites,Product40
Walmart,26,22,Bites,Product41
72 eleven,26,27,Bites,Product42
Kmart,26,28,Bites,Product43
OXXO,26,27,Bites,Product44
Soriana,26,21,Bites,Product45
Chedraui,22,14,Pelon,Product46
WholeFoods,26,27,Bites,Product47
Walmart,26,46,Reeses,Product171
73 eleven,26,21,Bites,Product48
Kmart,15,40,Kit Kat,Product49
OXXO,26,26,Bites,Product50
Soriana,26,20,Bites,Product51
Chedraui,26,20,Bites,Product52
WholeFoods,26,26,Bites,Product53
Walmart,32,24,Bites,Product54
74 eleven,48,16,Pelon,Product55
Kmart,46,18,Pelon,Product56
OXXO,29,41,Reeses,Product57
Soriana,48,15,Pelon,Product58
Chedraui,26,30,Bites,Product59
WholeFoods,29,23,Bites,Product60
Walmart,26,46,Reeses,Product171
75 eleven,30,29,Bites,Product61
Kmart,15,39,Kit Kat,Product62
OXXO,30,26,Bites,Product50
Soriana,30,28,Bites,Product63
Chedraui,30,21,Bites,Product64
WholeFoods,30,24,Bites,Product65
Walmart,30,20,Bites,Product66
76 eleven,30,27,Bites,Product67
Kmart,30,24,Bites,Product68
OXXO,30,20,Bites,Product69
Soriana,30,27,Bites,Product70
Chedraui,30,21,Bites,Product71
WholeFoods,30,20,Bites,Product72
Walmart,26,46,Reeses,Product171
77 eleven,30,23,Bites,Product73
Kmart,15,41,Kit Kat,Product74
OXXO,30,25,Bites,Product75
Soriana,30,21,Bites,Product76
Chedraui,30,28,Bites,Product77
WholeFoods,30,24,Bites,Product78
Walmart,30,21,Bites,Product79
78 eleven,30,29,Bites,Product80
Kmart,30,21,Bites,Product81
OXXO,51,41,Kisses,Product82
Soriana,31,21,Bites,Product83
Chedraui,26,26,Bites,Product84
WholeFoods,22,50,Reeses,Product54
Walmart,26,25,Bites,Product85
79 eleven,15,36,Kit Kat,Product86
Kmart,26,29,Bites,Product87
OXXO,35,30,Bites,Product88
Soriana,34,30,Bites,Product89
Chedraui,16,36,Kit Kat,Product86
WholeFoods,34,28,Bites,Product90
Walmart,17,33,Kit Kat,Product91
80 eleven,34,30,Bites,Product92
Kmart,34,30,Bites,Product93
OXXO,34,26,Bites,Product94
Soriana,35,146,Seasons,Product9
Chedraui,35,30,Bites,Product96
WholeFoods,35,24,Bites,Product97
Walmart,16,36,Kit Kat,Product98
81 eleven,35,30,Bites,Product99
Kmart,35,26,Bites,Product100
OXXO,35,28,Bites,Product101
Soriana,31,30,Bites,Product102
Chedraui,27,25,Bites,Product103
WholeFoods,49,15,Pelon,Product104
Walmart,35,23,Bites,Product105
82 eleven,35,22,Bites,Product106
Kmart,48,43,Kisses,Product107
OXXO,17,31,Kit Kat,Product108
Soriana,48,43,Kisses,Product109
Chedraui,17,41,Kit Kat,Product74
WholeFoods,48,51,Reeses,Product110
Walmart,18,36,Kit Kat,Product111
83 eleven,48,46,Reeses,Product112
Kmart,48,5,Jolly Rancher,Product113
OXXO,48,7,Jolly Rancher,Product114
Soriana,48,5,Jolly Rancher,Product113
Chedraui,48,7,Jolly Rancher,Product115
WholeFoods,48,37,Kisses,Product116
Walmart,48,38,Kisses,Product117
84 eleven,48,42,Kisses,Product118
Kmart,62,21,Cocoa,Product119
OXXO,64,54,Reeses,Product120
Soriana,17,33,Kit Kat,Product121
Chedraui,64,6,Jolly Rancher,Product122
WholeFoods,48,36,Kisses,Product123
Walmart,48,53,Reeses,Product124
85 eleven,50,7,Jolly Rancher,Product125
Kmart,49,45,Kit Kat,Product126
OXXO,49,35,Kit Kat,Product127
Soriana,30,27,Bites,Product128
Chedraui,49,43,Kit Kat,Product129
WholeFoods,49,34,Kit Kat,Product130
Walmart,60,39,Kit Kat,Product131
86 eleven,4,15,Pelon,Product132
Kmart,5,15,Pelon,Product133
OXXO,6,18,Pelon,Product134
Soriana,18,43,Kit Kat,Product135
Chedraui,50,127,Seasons,Product136
WholeFoods,34,27,Bites,Product137
Walmart,33,30,Bites,Product138
87 eleven,34,51,Reeses,Product12
Kmart,31,25,Bites,Product139
OXXO,31,24,Bites,Product140
Soriana,31,21,Bites,Product141
Chedraui,31,30,Bites,Product142
WholeFoods,31,28,Bites,Product143
Walmart,30,20,Bites,Product144
88 eleven,31,22,Bites,Product145
Kmart,4,18,Pelon,Product146
OXXO,28,11,Almond Joy,Product147
Soriana,31,27,Bites,Product148
Chedraui,4,19,Pelon,Product149
WholeFoods,31,25,Bites,Product150
Walmart,4,18,Pelon,Product151
89 eleven,31,30,Bites,Product152
Kmart,4,16,Pelon,Product153
OXXO,33,21,Bites,Product154
Soriana,4,18,Pelon,Product56
Chedraui,30,24,Bites,Product156
WholeFoods,4,18,Pelon,Product157
Walmart,31,29,Bites,Product158
90 eleven,4,18,Pelon,Product159
Kmart,31,29,Bites,Product160
OXXO,4,17,Pelon,Product161
Soriana,31,26,Bites,Product162
Chedraui,4,17,Pelon,Product163
WholeFoods,31,29,Bites,Product164
Walmart,4,17,Pelon,Product165
91 eleven,31,24,Bites,Product166
Kmart,4,16,Pelon,Product167
OXXO,18,38,Kit Kat,Product168
Soriana,31,23,Bites,Product169
Chedraui,4,18,Pelon,Product170
WholeFoods,31,21,Bites,Product171
Walmart,4,18,Pelon,Product172
92 eleven,31,22,Bites,Product173
Kmart,4,14,Pelon,Product174
OXXO,6,15,Pelon,Product175
Soriana,31,25,Bites,Product176
Chedraui,4,18,Pelon,Product177
WholeFoods,4,19,Pelon,Product178
Walmart,4,15,Pelon,Product179
93 eleven,31,30,Bites,Product180
Kmart,4,15,Pelon,Product181
OXXO,31,26,Bites,Product182
Soriana,5,18,Pelon,Product183
Chedraui,31,23,Bites,Product184
WholeFoods,5,17,Pelon,Product185
Walmart,31,23,Bites,Product186
94 eleven,5,15,Pelon,Product187
Kmart,31,24,Bites,Product188
OXXO,26,25,Bites,Product189
Soriana,31,29,Bites,Product190
Chedraui,4,18,Pelon,Product191
WholeFoods,18,31,Kit Kat,Product192
Walmart,31,25,Bites,Product193
95 eleven,5,17,Pelon,Product194
Kmart,5,14,Pelon,Product195
OXXO,31,24,Bites,Product196
Soriana,33,24,Bites,Product197
Chedraui,7,16,Pelon,Product198
WholeFoods,33,23,Bites,Product184
Walmart,32,22,Bites,Product199
96 eleven,33,23,Bites,Product186
Kmart,4,15,Pelon,Product200
OXXO,33,28,Bites,Product1
Soriana,4,14,Pelon,Product2
Chedraui,28,22,Bites,Product3
WholeFoods,50,139,Seasons,Product4
Walmart,50,117,Seasons,Product5
97 eleven,34,22,Bites,Product6
Kmart,35,30,Bites,Product7
OXXO,4,17,Pelon,Product8
Soriana,18,41,Kit Kat,Product9
Chedraui,34,22,Bites,Product10
WholeFoods,4,17,Pelon,Product8
Walmart,35,27,Bites,Product11
98 eleven,6,19,Pelon,Product12
Kmart,6,13,Pelon,Product13
OXXO,35,21,Bites,Product14
Soriana,35,20,Bites,Product15
Chedraui,35,22,Bites,Product16
WholeFoods,6,17,Pelon,Product17
Walmart,48,36,Kisses,Product18
99 eleven,48,40,Kisses,Product19
Kmart,4,13,Pelon,Product20
OXXO,48,42,Kisses,Product106
Soriana,4,15,Pelon,Product22
Chedraui,48,43,Kisses,Product23
WholeFoods,48,39,Kisses,Product24
Walmart,18,42,Kit Kat,Product25
100 eleven,48,40,Kisses,Product26
Kmart,23,50,Reeses,Product54
OXXO,48,41,Kisses,Product27
Soriana,48,44,Kisses,Product28
Chedraui,48,41,Kisses,Product29
WholeFoods,48,50,Kisses,Product30
Walmart,48,47,Kisses,Product31
101 eleven,48,137,Seasons,Product32
Kmart,48,132,Seasons,Product33
OXXO,48,150,Seasons,Product34
Soriana,48,142,Seasons,Product35
Chedraui,6,15,Pelon,Product36
WholeFoods,19,30,Kit Kat,Product37
Walmart,49,16,Pelon,Product38
102 eleven,49,18,Pelon,Product39
Kmart,48,49,Kisses,Product40
OXXO,48,36,Kisses,Product41
Soriana,34,27,Bites,Product42
Chedraui,48,137,Seasons,Product43
WholeFoods,48,6,Jolly Rancher,Product44
Walmart,54,21,Cocoa,Product45
103 eleven,18,40,Kit Kat,Product46
Kmart,48,49,Reeses,Product47
OXXO,5,14,Pelon,Product48
Soriana,49,40,Kisses,Product49
Chedraui,49,47,Kisses,Product50
WholeFoods,49,42,Milk,Product51
Walmart,49,56,Milk,Product52
104 eleven,49,41,Milk,Product53
Kmart,49,49,Milk,Product54
OXXO,49,49,Reeses,Product55
Soriana,49,40,Reeses,Product56
Chedraui,49,41,Reeses,Product57
WholeFoods,28,15,Almond Joy,Product58
Walmart,49,40,Reeses,Product56
105 eleven,21,37,Kit Kat,Product59
Kmart,49,40,Kisses,Product49
OXXO,20,30,Kit Kat,Product60
Soriana,49,47,Kisses,Product50
Chedraui,49,40,Kisses,Product61
WholeFoods,50,35,Kisses,Product62
Walmart,49,28,Bites,Product63
106 eleven,49,21,Bites,Product64
Kmart,49,24,Bites,Product65
OXXO,49,20,Bites,Product66
Soriana,49,125,Seasons,Product67
Chedraui,49,134,Seasons,Product68
WholeFoods,49,113,Seasons,Product69
Walmart,49,119,Seasons,Product70
107 eleven,49,43,Kisses,Product71
Kmart,49,52,Kisses,Product72
OXXO,49,39,Kisses,Product73
Soriana,49,35,Kisses,Product74
Chedraui,47,14,Pelon,Product75
WholeFoods,47,13,Pelon,Product76
Walmart,47,14,Pelon,Product77
108 eleven,47,18,Pelon,Product78
Kmart,47,16,Pelon,Product79
OXXO,47,16,Pelon,Product80
Soriana,47,16,Pelon,Product81
Chedraui,47,15,Pelon,Product82
WholeFoods,47,19,Pelon,Product83
Walmart,47,18,Pelon,Product84
109 eleven,47,14,Pelon,Product85
Kmart,47,15,Pelon,Product86
OXXO,47,16,Pelon,Product87
Soriana,47,17,Pelon,Product88
Chedraui,47,13,Pelon,Product89
WholeFoods,47,19,Pelon,Product90
Walmart,47,14,Pelon,Product91
110 eleven,47,17,Pelon,Product92
Kmart,47,18,Pelon,Product93
OXXO,47,17,Pelon,Product94
Soriana,47,17,Pelon,Product95
Chedraui,47,15,Pelon,Product96
WholeFoods,47,19,Pelon,Product97
Walmart,47,13,Pelon,Product98
111 eleven,47,18,Pelon,Product99
Kmart,4,13,Pelon,Product100
OXXO,21,35,Kit Kat,Product101
Soriana,6,16,Pelon,Product102
Chedraui,6,13,Pelon,Product103
WholeFoods,6,15,Pelon,Product108
Walmart,6,19,Pelon,Product105
112 eleven,30,22,Bites,Product106
Kmart,5,16,Pelon,Product107
OXXO,21,31,Kit Kat,Product192
Soriana,36,139,Seasons,Product108
Chedraui,36,113,Seasons,Product109
WholeFoods,36,111,Seasons,Product110
Walmart,36,100,Seasons,Product188
113 eleven,36,120,Seasons,Product112
Kmart,36,134,Seasons,Product113
OXXO,22,17,Pelon,Product114
Soriana,36,150,Seasons,Product115
Chedraui,28,11,Almond Joy,Product116
WholeFoods,36,140,Seasons,Product117
Walmart,21,34,Kit Kat,Product118
114 eleven,36,111,Seasons,Product119
Kmart,34,13,Almond Joy,Product120
OXXO,34,143,Seasons,Product121
Soriana,36,120,Seasons,Product122
Chedraui,36,124,Seasons,Product123
WholeFoods,34,13,Almond Joy,Product124
Walmart,34,13,Almond Joy,Product124
